Date,MaxTemp,MinTemp,AvgTemp,Departure,HDD,CDD,Precipitation,NewSnow,SnowDepth
2022-11-01,76,55,65.5,13.9,0,1,0.00,0.0,0
2022-11-02,69,50,59.5,8.3,5,0,0.00,0.0,0
2022-11-03,69,46,57.5,6.6,7,0,0.00,0.0,0
2022-11-04,72,46,59.0,8.4,6,0,0.00,0.0,0
2022-11-05,80,58,69.0,18.7,0,4,0.00,0.0,0
2022-11-06,78,64,71.0,21.1,0,6,0.05,0.0,0
2022-11-07,81,57,69.0,19.4,0,4,0.00,0.0,0
2022-11-08,62,48,55.0,5.7,10,0,0.00,0.0,0
2022-11-09,58,42,50.0,1.1,15,0,0.00,0.0,0
2022-11-10,69,40,54.5,5.9,10,0,0.00,0.0,0
2022-11-11,71,59,65.0,16.7,0,0,0.64,0.0,0
2022-11-12,72,53,62.5,14.5,2,0,0.11,0.0,0
2022-11-13,53,37,45.0,-2.6,20,0,0.01,0.0,0
2022-11-14,50,32,41.0,-6.3,24,0,0.00,0.0,0
2022-11-15,44,30,37.0,-10.0,28,0,1.01,0.0,0
2022-11-16,52,40,46.0,-0.7,19,0,0.01,0.0,0
2022-11-17,45,33,39.0,-7.4,26,0,0.00,0.0,0
2022-11-18,48,32,40.0,-6.1,25,0,0.00,0.0,0
2022-11-19,46,29,37.5,-8.2,27,0,0.00,0.0,0
2022-11-20,38,22,30.0,-15.4,35,0,0.00,0.0,0
2022-11-21,49,19,34.0,-11.1,31,0,0.00,0.0,0
2022-11-22,59,25,42.0,-2.8,23,0,0.00,0.0,0
2022-11-23,63,29,46.0,1.5,19,0,0.00,0.0,0
2022-11-24,60,29,44.5,0.3,20,0,0.00,0.0,0
2022-11-25,62,38,50.0,6.1,15,0,0.08,0.0,0
2022-11-26,60,36,48.0,4.4,17,0,0.00,0.0,0
2022-11-27,59,39,49.0,5.7,16,0,0.27,0.0,0
2022-11-28,56,43,49.5,6.5,15,0,0.00,0.0,0
2022-11-29,51,32,41.5,-1.2,23,0,0.00,0.0,0
2022-11-30,59,39,49.0,6.6,16,0,0.26,0.0,0
2022-12-01,45,27,36.0,-6.2,29,0,0.00,0.0,0
2022-12-02,50,23,36.5,-5.4,28,0,0.00,0.0,0
2022-12-03,62,42,52.0,10.4,13,0,0.47,0.0,0
2022-12-04,48,27,37.5,-3.8,27,0,0.00,0.0,0
2022-12-05,50,24,37.0,-4.1,28,0,0.00,0.0,0
2022-12-06,52,30,41.0,0.2,24,0,0.25,0.0,0
2022-12-07,56,51,53.5,13.0,11,0,T,0.0,0
2022-12-08,59,45,52.0,11.7,13,0,0.00,0.0,0
2022-12-09,50,30,40.0,0.0,25,0,0.00,0.0,0
2022-12-10,45,26,35.5,-4.3,29,0,0.00,0.0,0
2022-12-11,44,34,39.0,-0.5,26,0,0.02,0.0,0
2022-12-12,45,35,40.0,0.7,25,0,0.00,0.0,0
2022-12-13,44,23,33.5,-5.6,31,0,0.00,0.0,0
2022-12-14,42,21,31.5,-7.3,33,0,0.00,0.0,0
2022-12-15,49,33,41.0,2.4,24,0,2.07,0.0,0
2022-12-16,53,33,43.0,4.6,22,0,0.29,0.0,0
2022-12-17,49,33,41.0,2.8,24,0,0.00,0.0,0
2022-12-18,43,29,36.0,-1.9,29,0,T,T,0
2022-12-19,43,25,34.0,-3.7,31,0,0.00,0.0,0
2022-12-20,42,24,33.0,-4.5,32,0,0.00,0.0,0
2022-12-21,44,22,33.0,-4.3,32,0,0.00,0.0,0
2022-12-22,55,29,42.0,4.9,23,0,1.14,0.0,0
2022-12-23,55,10,32.5,-4.4,32,0,0.25,T,0
2022-12-24,20,6,13.0,-23.8,52,0,0.00,0.0,0
2022-12-25,32,10,21.0,-15.6,44,0,0.00,0.0,0
2022-12-26,34,14,24.0,-12.4,41,0,0.00,0.0,0
2022-12-27,45,25,35.0,-1.2,30,0,0.00,0.0,0
2022-12-28,52,21,36.5,0.4,28,0,0.00,0.0,0
2022-12-29,58,23,40.5,4.6,24,0,0.00,0.0,0
2022-12-30,66,29,47.5,11.8,17,0,0.00,0.0,0
2022-12-31,56,36,46.0,10.4,19,0,0.31,0.0,0
2023-01-01,64,40,52.0,16.6,13,0,0.00,0.0,0
2023-01-02,66,40,53.0,17.7,12,0,0.00,0.0,0
2023-01-03,69,45,57.0,21.8,8,0,T,0.0,0
2023-01-04,66,53,59.5,24.5,5,0,T,0.0,0
2023-01-05,64,49,56.5,21.6,8,0,0.11,0.0,0
2023-01-06,52,39,45.5,10.7,19,0,0.00,0.0,0
2023-01-07,50,35,42.5,7.8,22,0,0.00,0.0,0
2023-01-08,44,27,35.5,0.9,29,0,0.01,0.0,0
2023-01-09,50,34,42.0,7.5,23,0,0.01,0.0,0
2023-01-10,49,29,39.0,4.6,26,0,0.00,0.0,0
2023-01-11,46,25,35.5,1.2,29,0,0.00,0.0,0
2023-01-12,56,40,48.0,13.8,17,0,0.09,0.0,0
2023-01-13,56,39,47.5,13.4,17,0,0.12,0.0,0
2023-01-14,39,31,35.0,0.9,30,0,0.00,0.0,0
2023-01-15,46,30,38.0,4.0,27,0,0.00,0.0,0
2023-01-16,56,29,42.5,8.5,22,0,0.00,0.0,0
2023-01-17,50,35,42.5,8.6,22,0,T,0.0,0
2023-01-18,57,39,48.0,14.1,17,0,0.00,0.0,0
2023-01-19,44,41,42.5,8.6,22,0,0.17,0.0,0
2023-01-20,53,38,45.5,11.6,19,0,0.00,0.0,0
2023-01-21,45,30,37.5,3.6,27,0,0.00,0.0,0
2023-01-22,42,28,35.0,1.1,30,0,0.31,0.0,0
2023-01-23,46,39,42.5,8.6,22,0,0.12,0.0,0
2023-01-24,51,32,41.5,7.6,23,0,0.00,0.0,0
2023-01-25,52,31,41.5,7.6,23,0,0.64,T,0
2023-01-26,50,35,42.5,8.5,22,0,0.00,0.0,0
2023-01-27,45,27,36.0,2.0,29,0,0.00,0.0,0
2023-01-28,57,32,44.5,10.4,20,0,0.00,0.0,0
2023-01-29,52,30,41.0,6.8,24,0,T,0.0,0
2023-01-30,59,38,48.5,14.3,16,0,0.00,0.0,0
2023-01-31,48,36,42.0,7.7,23,0,0.10,0.0,0
2023-02-01,40,26,33.0,-1.4,32,0,0.01,0.2,T
2023-02-02,42,27,34.5,0.0,30,0,0.00,0.0,0
2023-02-03,39,17,28.0,-6.6,37,0,T,T,0
2023-02-04,31,14,22.5,-12.2,42,0,0.00,0.0,0
2023-02-05,57,28,42.5,7.6,22,0,0.00,0.0,0
2023-02-06,54,33,43.5,8.5,21,0,0.00,0.0,0
2023-02-07,48,26,37.0,1.9,28,0,0.00,0.0,0
2023-02-08,65,41,53.0,17.7,12,0,0.00,0.0,0
2023-02-09,68,38,53.0,17.5,12,0,0.00,0.0,0
2023-02-10,66,45,55.5,19.9,9,0,0.00,0.0,0
2023-02-11,51,35,43.0,7.2,22,0,0.00,0.0,0
2023-02-12,43,36,39.5,3.5,25,0,0.62,0.0,0
2023-02-13,58,38,48.0,11.8,17,0,T,T,0
2023-02-14,61,32,46.5,10.1,18,0,0.00,0.0,0
2023-02-15,71,45,58.0,21.4,7,0,0.00,0.0,0
2023-02-16,64,45,54.5,17.7,10,0,0.39,0.0,0
2023-02-17,65,34,49.5,12.5,15,0,0.77,0.0,0
2023-02-18,47,25,36.0,-1.2,29,0,0.00,0.0,0
2023-02-19,60,31,45.5,8.1,19,0,0.00,0.0,0
2023-02-20,65,48,56.5,18.9,8,0,0.00,0.0,0
2023-02-21,63,41,52.0,14.1,13,0,0.02,0.0,0
2023-02-22,49,39,44.0,5.9,21,0,0.02,0.0,0
2023-02-23,79,41,60.0,21.7,5,0,0.00,0.0,0
2023-02-24,63,37,50.0,11.4,15,0,T,0.0,0
2023-02-25,38,31,34.5,-4.3,30,0,T,T,0
2023-02-26,55,36,45.5,6.4,19,0,0.00,0.0,0
2023-02-27,51,30,40.5,1.2,24,0,0.29,0.0,0
2023-02-28,56,36,46.0,6.4,19,0,0.06,0.0,0
2023-03-01,56,30,43.0,3.1,22,0,0.00,0.0,0
2023-03-02,64,44,54.0,13.9,11,0,0.05,0.0,0
2023-03-03,50,40,45.0,4.6,20,0,0.52,0.0,0
2023-03-04,57,36,46.5,5.8,18,0,T,0.0,0
2023-03-05,63,29,46.0,5.1,19,0,0.00,0.0,0
2023-03-06,59,31,45.0,3.8,20,0,0.00,0.0,0
2023-03-07,54,39,46.5,5.0,18,0,0.00,0.0,0
2023-03-08,54,34,44.0,2.2,21,0,0.00,0.0,0
2023-03-09,56,35,45.5,3.4,19,0,0.00,0.0,0
2023-03-10,45,33,39.0,-3.4,26,0,0.17,0.0,0
2023-03-11,49,37,43.0,0.3,22,0,0.00,0.0,0
2023-03-12,44,31,37.5,-5.5,27,0,0.01,T,0
2023-03-13,48,39,43.5,0.2,21,0,T,0.0,0
2023-03-14,44,33,38.5,-5.1,26,0,T,T,0
2023-03-15,52,32,42.0,-1.9,23,0,0.00,0.0,0
2023-03-16,66,31,48.5,4.3,16,0,0.00,0.0,0
2023-03-17,62,43,52.5,8.0,12,0,0.01,0.0,0
2023-03-18,53,40,46.5,1.7,18,0,T,0.0,0
2023-03-19,42,27,34.5,-10.7,30,0,0.00,0.0,0
2023-03-20,54,26,40.0,-5.5,25,0,0.00,0.0,0
2023-03-21,64,29,46.5,0.7,18,0,0.00,0.0,0
2023-03-22,69,39,54.0,7.8,11,0,0.00,0.0,0
2023-03-23,80,52,66.0,19.5,0,1,0.10,0.0,0
2023-03-24,64,44,54.0,7.1,11,0,0.35,0.0,0
2023-03-25,53,44,48.5,1.3,16,0,0.22,0.0,0
2023-03-26,68,45,56.5,8.9,8,0,0.00,0.0,0
2023-03-27,63,41,52.0,4.1,13,0,0.06,0.0,0
2023-03-28,58,43,50.5,2.2,14,0,0.00,0.0,0
2023-03-29,61,34,47.5,-1.1,17,0,0.00,0.0,0
2023-03-30,54,35,44.5,-4.5,20,0,0.00,0.0,0
2023-03-31,66,33,49.5,0.1,15,0,T,0.0,0
2023-04-01,77,49,63.0,13.3,2,0,0.39,T,0
2023-04-02,57,38,47.5,-2.6,17,0,0.00,0.0,0
2023-04-03,71,33,52.0,1.5,13,0,0.00,0.0,0
2023-04-04,80,49,64.5,13.6,0,0,0.00,0.0,0
2023-04-05,84,56,70.0,18.8,0,5,0.00,0.0,0
2023-04-06,87,59,73.0,21.4,0,8,0.20,0.0,0
2023-04-07,59,48,53.5,1.5,11,0,T,0.0,0
2023-04-08,53,43,48.0,-4.4,17,0,0.00,0.0,0
2023-04-09,61,33,47.0,-5.8,18,0,0.00,0.0,0
2023-04-10,67,34,50.5,-2.6,14,0,0.00,0.0,0
2023-04-11,78,44,61.0,7.5,4,0,0.00,0.0,0
2023-04-12,85,56,70.5,16.6,0,6,0.00,0.0,0
2023-04-13,89,56,72.5,18.3,0,8,0.00,0.0,0
2023-04-14,86,58,72.0,17.4,0,7,T,0.0,0
2023-04-15,76,64,70.0,15.0,0,5,0.44,0.0,0
2023-04-16,80,59,69.5,14.2,0,5,0.00,0.0,0
2023-04-17,71,54,62.5,6.8,2,0,T,0.0,0
2023-04-18,72,46,59.0,2.9,6,0,0.00,0.0,0
2023-04-19,75,37,56.0,-0.4,9,0,0.00,0.0,0
2023-04-20,81,48,64.5,7.7,0,0,0.00,0.0,0
2023-04-21,84,55,69.5,12.4,0,5,0.00,0.0,0
2023-04-22,77,57,67.0,9.6,0,2,0.86,T,0
2023-04-23,65,45,55.0,-2.8,10,0,T,0.0,0
2023-04-24,61,40,50.5,-7.6,14,0,0.00,0.0,0
2023-04-25,61,37,49.0,-9.4,16,0,0.00,0.0,0
2023-04-26,66,39,52.5,-6.2,12,0,0.06,0.0,0
2023-04-27,67,52,59.5,0.4,5,0,T,0.0,0
2023-04-28,57,53,55.0,-4.4,10,0,1.82,0.0,0
2023-04-29,69,53,61.0,1.3,4,0,0.02,0.0,0
2023-04-30,63,52,57.5,-2.5,7,0,0.33,0.0,0
2023-05-01,62,46,54.0,-6.3,11,0,0.01,0.0,0
