Date,tm000
20231101,282.797
20231102,279.395
20231103,280.405
20231104,283.051
20231105,286.462
20231106,288.068
20231107,286.555
20231108,291.091
20231109,285.232
20231110,289.8
20231111,279.277
20231112,284.527
20231113,281.038
20231114,282.476
20231115,283.051
20231116,284.212
20231117,286.765
20231118,288.212
20231119,282
20231120,282.956
20231121,281.241
20231122,283.718
20231123,282.902
20231124,282.099
20231125,280.436
20231126,276.7
20231127,279.8
20231128,276.6
20231129,272.378
20231130,272.5
20231201,279.584
20231202,280.211
20231203,283.774
20231204,282.792
20231205,281.637
20231206,280.247
20231207,276.668
20231208,277.349
20231209,280.892
20231210,281.799
20231211,283.72
20231212,276.874
20231213,278.288
20231214,277.608
20231215,277.511
20231216,280.727
20231217,281.496
20231218,283.4
20231219,278.818
20231220,274.78
20231221,276.89
20231222,278.168
20231223,278.6
20231224,279.595
20231225,278.6
20231226,281.2
20231227,280.3
20231228,283
20231229,284.2
20231230,283.2
20231231,282.2
20240101,280.263
20240102,277.547
20240103,276.923
20240104,278.119
20240105,275.781
20240106,274.2
20240107,274.125
20240108,277.406
20240109,277.635
20240110,284.644
20240111,278.844
20240112,279.724
20240113,280.136
20240114,275.748
20240115,272.706
20240116,270.883
20240117,265.07
20240118,264.776
20240119,270.905
20240120,269.162
20240121,263.941
20240122,267.071
20240123,268.351
20240124,271.461
20240125,273.568
20240126,281.806
20240127,289.163
20240128,283.567
20240129,278.192
20240130,277.835
20240131,277.2
20240201,278.223
20240202,280.59
20240203,279.33
20240204,278.9
20240205,279.774
20240206,278.9
20240207,277.296
20240208,279.356
20240209,280.7
20240210,283.092
20240211,285.09
20240212,282.849
20240213,281
20240214,278.031
20240215,276.6
20240216,279.151
20240217,278.9
20240218,273.242
20240219,276.783
20240220,278.1
20240221,278
20240222,277.916
20240223,279.295
20240224,281.032
20240225,277.585
20240226,277.755
20240227,283.337
20240228,286.642
20240229,285.223
