Date,Close,Volume,Open,High,Low
02/07/2025,17.48,5877474,17.77,17.9499,17.41
02/06/2025,17.89,7056320,17.49,18.12,17.4401
02/05/2025,17.80,5663599,16.94,17.82,16.93
02/04/2025,17.07,5692353,16.73,17.51,16.73
02/03/2025,17.64,9247611,17.44,17.98,17.382
01/31/2025,16.19,5329717,15.97,16.25,15.86
01/30/2025,16.14,7689113,16.49,16.70,16.025
01/29/2025,16.76,5628510,16.71,16.855,16.35
01/28/2025,16.29,7570397,16.59,16.845,16.28
01/27/2025,17.15,7871579,17.22,17.26,16.77
01/24/2025,18.12,6331628,17.85,18.31,17.64
01/23/2025,18.25,10105600,18.73,18.899,17.98
01/22/2025,18.54,7320741,17.86,18.60,17.7901
01/21/2025,17.73,9103495,17.99,18.09,17.575
01/17/2025,18.34,9260476,18.50,18.92,18.28
01/16/2025,19.94,16418320,19.09,20.0299,18.685
01/15/2025,19.12,13993080,18.73,19.185,18.42
01/14/2025,18.47,12135910,17.73,18.83,17.72
01/13/2025,18.22,14321670,18.47,18.75,17.86
01/10/2025,18.42,14921780,18.26,18.64,17.995
01/08/2025,17.11,13468150,16.60,17.135,16.48
01/07/2025,15.99,16343210,16.62,16.72,15.915
01/06/2025,17.16,16600110,17.01,17.255,16.495
01/03/2025,15.59,16484520,16.18,16.25,15.46
01/02/2025,17.01,14092920,17.23,17.62,16.86
12/31/2024,16.81,15119390,17.15,17.50,16.60
12/30/2024,18.03,30104430,18.63,19.48,17.69
12/27/2024,15.76,11302850,15.74,15.89,15.29
12/26/2024,15.37,10923510,15.34,15.42,15.09
12/24/2024,16.14,4116728,16.00,16.21,15.96
12/23/2024,15.63,7477606,15.67,15.73,15.24
12/20/2024,15.87,11632630,15.31,16.015,15.13
12/19/2024,15.40,9531347,14.85,15.435,14.7918
12/18/2024,14.54,6517339,14.49,14.70,14.30
12/17/2024,14.46,7641137,13.62,14.475,13.405
12/16/2024,13.95,5668406,13.84,14.0702,13.80
12/13/2024,14.23,7033007,14.57,14.60,14.155
12/12/2024,15.04,13176060,14.71,15.4195,14.49
12/11/2024,14.56,10133060,14.28,14.7448,14.28
12/10/2024,13.81,6877249,13.38,13.83,13.31
12/09/2024,13.77,6923590,13.76,13.955,13.59
12/06/2024,13.37,4222435,13.22,13.44,13.1501
12/05/2024,13.32,6637648,13.42,13.6552,13.20
12/04/2024,13.26,8384474,13.15,13.35,12.90
12/03/2024,13.21,9443950,13.60,13.60,13.13
12/02/2024,13.88,9656721,13.97,14.20,13.765
11/29/2024,14.43,4681747,14.35,14.645,14.2401
11/27/2024,13.81,9146968,14.05,14.18,13.81
11/26/2024,15.08,10170070,15.01,15.27,14.67
11/25/2024,14.79,11781630,14.98,15.4399,14.7206
11/22/2024,14.31,14878990,14.29,14.42,14.07
11/21/2024,15.15,11904810,15.39,15.52,14.81
11/20/2024,14.75,13846270,14.35,14.82,14.24
11/19/2024,13.87,8884403,13.79,14.18,13.705
11/18/2024,13.75,8381096,13.48,13.82,13.475
11/15/2024,13.37,7318165,13.10,13.42,13.0732
